,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
5855,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.12103486257890916, 0.3562617021618459, 84653266344680.02]",-212.18140943775975,-254.43929807132452,-23.83231303115512,-24.03295100747608,-212.18140943775975,-254.43929807132452,3.6349311029199225e-19,False
5856,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.10883202960755652, 0.36585121468514603, 85737620419228.05]",-212.18140943775975,-220.0907138637478,-21.788038534916137,-21.655650879377667,-212.18140943775975,-220.0907138637478,0.00041930299101928566,False
5857,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.11960782068184243, 0.3740331142909372, 84201825269674.73]",-212.18140943775975,-247.72306410078585,-23.7036203931879,-23.76375401625001,-212.18140943775975,-247.72306410078585,3.4541389298998987e-16,False
5858,"[0.10045473642614271, 0.3664141232161446, 85120119439283.8]","[0.1020342645700216, 0.3707710254641325, 84385837824683.66]",-212.18140943775975,-212.022701061365,-21.574811595214253,-21.535909951325568,-212.18140943775975,-212.022701061365,1.218487115893187,True
5859,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.09197202601764903, 0.3741392806554663, 84958890951021.42]",-212.022701061365,-237.01085286163945,-21.85239515198352,-21.960677024415478,-212.022701061365,-237.01085286163945,1.2611226927508485e-11,False
5860,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.10638229340468848, 0.3719877344331745, 82183756065579.08]",-212.022701061365,-215.23990764379093,-23.763849421907896,-23.64646630860102,-212.022701061365,-215.23990764379093,0.04505715567092171,False
5861,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.09475826694604783, 0.3707985960123176, 83712608010526.03]",-212.022701061365,-223.84062502705905,-21.60228772680627,-21.737713392272703,-212.022701061365,-223.84062502705905,6.437633005363813e-06,False
5862,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.09390521421517535, 0.3702441176350507, 83438207645542.17]",-212.022701061365,-227.34973079290606,-21.88548838868714,-22.03376684231931,-212.022701061365,-227.34973079290606,1.9017746295142225e-07,False
5863,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.11139350920910648, 0.3818901483682108, 85483028656239.33]",-212.022701061365,-224.79182364156915,-22.92434120481609,-22.749733288946942,-212.022701061365,-224.79182364156915,3.390562692577555e-06,False
5864,"[0.1020342645700216, 0.3707710254641325, 84385837824683.66]","[0.10101984033623061, 0.3819326006817901, 83372777133742.1]",-212.022701061365,-212.4322366480953,-22.319107232312508,-22.32024183052975,-212.022701061365,-212.4322366480953,0.6632056307335031,True
5865,"[0.10101984033623061, 0.3819326006817901, 83372777133742.1]","[0.10084539735145888, 0.3923543798940875, 86280909665385.95]",-212.4322366480953,-212.44760170665995,-25.904187675541024,-25.99803757581827,-212.4322366480953,-212.44760170665995,0.8965376780824694,True
5866,"[0.10084539735145888, 0.3923543798940875, 86280909665385.95]","[0.11556749660818133, 0.3963295662234194, 88392744875815.94]",-212.44760170665995,-235.4787783385873,-24.610158064586066,-24.538820910606283,-212.44760170665995,-235.4787783385873,1.0682389505608251e-10,False
5867,"[0.10084539735145888, 0.3923543798940875, 86280909665385.95]","[0.09176988420684966, 0.3925903906776025, 87550752990415.14]",-212.44760170665995,-238.97621507587098,-22.336323448053115,-22.458594910975677,-212.44760170665995,-238.97621507587098,2.664819388882523e-12,False
5868,"[0.10084539735145888, 0.3923543798940875, 86280909665385.95]","[0.10016366591932012, 0.38662505245942597, 85541773082929.94]",-212.44760170665995,-212.80130267118892,-21.591091669452275,-21.644924516466794,-212.44760170665995,-212.80130267118892,0.6652889565712513,True
5869,"[0.10016366591932012, 0.38662505245942597, 85541773082929.94]","[0.11332530903409353, 0.3719442054873596, 87000088065986.28]",-212.80130267118892,-230.68703507339302,-24.234207994128717,-24.14168527618875,-212.80130267118892,-230.68703507339302,1.8728682132883816e-08,False
5870,"[0.10016366591932012, 0.38662505245942597, 85541773082929.94]","[0.09726702081317233, 0.3927859070233298, 87123786822826.62]",-212.80130267118892,-216.91569229603493,-22.649916758351758,-22.673321705699152,-212.80130267118892,-216.91569229603493,0.01595800695613586,False
5871,"[0.10016366591932012, 0.38662505245942597, 85541773082929.94]","[0.08335987381410244, 0.37644170693363965, 85037668025441.86]",-212.80130267118892,-333.39562335715055,-23.21021629201652,-23.2777313637333,-212.80130267118892,-333.39562335715055,3.955765642605461e-53,False
5872,"[0.10016366591932012, 0.38662505245942597, 85541773082929.94]","[0.0835213853734687, 0.3833122098553821, 83340103084062.03]",-212.80130267118892,-333.7800918553418,-25.043570022024987,-25.056121486749706,-212.80130267118892,-333.7800918553418,2.845302189837974e-53,False
5873,"[0.10016366591932012, 0.38662505245942597, 85541773082929.94]","[0.10043129705281953, 0.39394447673601146, 84208060743139.45]",-212.80130267118892,-212.98079600259055,-22.347745083220097,-22.32438618982909,-212.80130267118892,-212.98079600259055,0.8554441784266549,True
5874,"[0.10043129705281953, 0.39394447673601146, 84208060743139.45]","[0.09444893049398682, 0.38592070353993785, 85650700917756.2]",-212.98079600259055,-225.54852053283867,-22.65497958687306,-22.785183834815996,-212.98079600259055,-225.54852053283867,3.057451664957823e-06,False
